0,died caught machines accident occurred victim assigned inspect maintain excavator magnet machine maintenance work carried victim made jump start grappler turn excavator engine suddenly grappler spinning pinned victim grappler excavator
1,died buried accident occurred floor concreting work falsework used supporter two workers buried floor suddenly collapsed fell onto
2,died crushed entrance arch victim four coworkers installing wood plate inside wall entrance arch structure office building sales piece wood put place suddenly structure gate began tilt collapsed onto victim
3,died due mine cavein series avalanche trapped victim mining prior incident
4,died run lorry accident involving employee run lorry riding motorcycle
5,died due explosion boiler accident involving three workers killed result boiler explosion
6,died falling roof victim two coworkers performing roof replacement work roof stepped broken roof fell without chance wear harness height ground roof victim working approximately 10 meters
7,died due electrocution victim died due electrocution believed carrying welding work confined space
8,died struck falling beam incident occured workers performing brick installation work slab suddenly collapsed victim struck falling beam pronounced dead ambulans
9,died crushed object prior incident victim colleagues carrying job binding reinforcement steel cage steel reinforcement cage put designated place prepared binding victim tied cage top climbing cage went cage suddenly roll caused victim fell along cage
10,killed mine explosion three workers died due coal explosion
11,died run roller compaction victim died due struck machinery moves turned believed fell run attempts stop machine
12,died crushed object alleged victims assigned move tunnel form another place believed victim slipped fell floor caused tunnel form fell
13,died falling height victim fell roof roof installation works carried
14,died falling height victim fell ground performing cable pulling job
15,died due contact hot water victim suffered 3rd degree burns splash hot water gushes steriliser opening clutch door
16,died falling height victim colleague dismantling shear wall lift shaft suddenly working platform collapsed fell along victims height approximately 78 meters
17,died struck lightning victim security guard struck lightning walking school gate
18,died falling height accident involving civilian came construction site find job victim found lying site personnel victim believed fallen stairs
19,died falling height incident victims carrying works opening aluminum formwork sets mounted mechanical engineering drain hole 13th floor victim fallen hole height 32 meters
20,died struck lightning victim flagman struck lightning performing job controlling traffic working open area
21,died run forklift incident took place cold room loading unloading works progress victim suddenly entering room move box containing foods time forklift moving backward lifting nestainer result victim struck moving forklift died scene
22,died falling height prior incident victim carrying mold installation works walls openings area fell ground result stepping hollow section height working area ground
23,died due burns victim assigned perform work replacing bricks inside boiler furnace accident occurred furnace collapsed hot ashes spread caught
24,died crushed pallet incident took place removal final product namely tubing wrapping plastic stor container using forklift watched victim time said wrapping plastic tubing pallet slipped fell victim
25,died caught backhoe victim stone crusher backhoes driver assigned work breaking stone hill accident occurred victim reversing vehicle completion work victim fell approximately 20 meters along backhoe found trapped drivers seat
26,died falling height victim found lying floor believed fell place carrying works removing form work
27,died falling height victim assigned repair gear box incline conveyor fell stepped rotten working platform
28,died struck lorry victim lorry driver killed run vehicle prior incident parked lorry steep road intention unchained lorry
29,died crushed tree victim colleague assigned cutting trees victim cut tree result tree topple another tree caused tree toppled victims head
30,died crushed mobile cranes boom mobile crane carrying works lifting bundle scaffolding victim working within working radius due excessive load crane overturned toppled victim
31,died crushed tree victim colleague assigned cutting trees victim cut tree result tree topple another tree caused tree toppled victims head
32,died falling ravine victim lorry driver found dead believed died due falling ravine lorry
33,died hit mobile crane victim crane operator lifting pile reinforced bar locate one place two building blocks lifting works progress suddenly crane balanced overturned victim crush crane tried got cabin
34,died due exposure hazardous chemical victim found unconscious got cabin incident carrying airconditioner maintenance works
35,died struck bricks victim struck falling bricks lifting tray time tower craned used lift lifting tray height 26 meters
36,died struck pallet victim colleagues removing glass door truck factory still construction work undergoing suddenly pallet containing glass door fell truck hit victim
37,died caught machine incident occured victim tagging name product using designed machine died due got caught two arms machine
38,died crushed forklift unbalanced forklift driven victim caused overturned crush victim
39,died falling 10 metre height victim standing plywood plate carrying plastering works suddenly place standing broken causing fall
40,died falling height victim assigned carry binding plastering works believed slipped fell first lower ground job
41,died hit object fell victim fell due hit broken lifting lug shaft incident took place preparation lifting works using overhead travelling crane otc
42,died crushed wood pallet victim 8 years old children died struck wood pallet attempted climb wood pallet
43,died crushed concrete structure three victims crushed falling concrete structure fell along structure prior incident performing installation works concrete structure
44,died due electrocution died struck eletricity cutting oil palm fruit
45,died struck vehicle victim flagman struck vehicle carrying duty highway
