id,title,summary
200361855, Two Workers Are Struck By Motor Vehicle And One Is Killed , On August 27  2013  Employees #1 and #2  of Templar Inc.  a construction  company specializing in fiber optic installation and services  were working  along a highway. The highway speed limit was posted at 55 miles per hour.  Employee #1 was marking the location of an underground line that ran below the  turn lane. Employee #2 was next to Employee #1 and performing the duties of a  flagger. A privately owned vehicle was travelling in the travel/through lane.  The vehicle veered to the right  entered the turn lane  and struck both  workers. Emergency medical services were called. Employee #1 was declared dead  at the scene. Employee #2 refused emergency medical treatment for the bruises  he received when struck.                                                        
202673471, Foreman Is Fatally Crushed When Forklift Tips Over , At approximately 6:30 a.m. on May 13  2013  Employee #1  a foreman regularly  employed by Integrity Rebar Placers  was operating a rough terrain forklift at  a contracted job site in Murrieta  CA. He was using the forklift to move  bundles of steel. Employee #1 was positioning the forklift to pick up another  load when the forklift tipped back and over. Employee #1 exited the cab of the  forklift as the machine tipped over. The forklift fell on top of Employee #1   pinning him under the lower section of the boom and crushing his abdomen. He  was killed. The employer notified Cal/OSHA of this fatality at approximately  8:35 a.m. on May 13  2013. The subsequent investigation determined that  Employee #1 had been employed by the company for approximately 2.5 months.      
202509832, Employee Suffers Abdominal Fracture In Fall From Ladder , On April 9  2013  Employee #1 was installing vinyl sidings on a single story  residence. The employee was standing an A-frame ladder that was set on a plank  of a scaffold. The scaffold moved causing Employee #1 to lose his balance. The  employee fell from the ladder approximately 12-ft to the ground. Employee #1  was transported to an area hospital  where he was treated for an abdominal  fracture. The employee remained hospitalized.                                   
201562840, Employee'S Body Is Caught In Asphalt Machine  Dies , On November 27  2012  Employee #1 was operating an asphalt-pulverizing  machine. The employee's work clothing zipper was caught in the  asphalt-pulverizing machine pulling his body into the squeeze point action of  the machine. Employee #1 was amputated from the abdominal point of his body.  The employee was pronounced dead at the scene.                                  
202478632, Employee Is Punctured In Abdomen With Nail , At approximately 11:57 a.m. on September 28  2012  Employee #1 was working  with a coworker. Their job was to replace the felt under the concrete tile at  the residential location. Once the felt was replaced  the employees would put  the tile back into place. Employee #1 removed debris from a roof and dumping  leftover roof tile into a dumpster on the ground. His coworker  the foreman   was using a Bostitch nail gun (Model Number F21PL  Serial Number 12194029B) to  insert nails into roofing tiles. After the felt was replaced  the employees  would put the tile back in place. While walking on the pitch of the roof   Employee #1 was carrying a load of leftover tile when he slipped and fell into  his coworker. The coworker tried to catch Employee #1  but the nail gun went  off  sending a nail into Employee #1's abdomen. Employee #1 was transported to  a medical center  where he underwent surgical procedures and was hospitalized  for postoperative care.                                                         
202692364, Carpenter Is Injured In Fall From Ceiling Joist , On December 4  2013  Employee #1  a carpenter employed by Valley Trinity  Construction Co.  Inc.  was engaged in interior carpentry work at a commercial  building. He fell from a ceiling joist  a fall height of approximately 6 feet.  Emergency services were called  and Employee #1 was transported to a hospital   where he was admitted and treated for bruising/abrasions to his back and neck.  
201510989, Pipeline Worker Is Struck And Injured By Falling Cement , On August 22  2013  Employee #1  employed by Southland/Tutor Perini  Corporation  was working on a pipeline project. A piece of cement grout  approximately 1.5 feet by 1.5 feet by 6 feet long fell out of the tunnel face  approximately 3 feet above the invert. The cement pinned Employee #1's leg  against a roadheader. Employee #1 sustained bruising/contusions/abrasions. He  did not require hospitalization. This incident was reported to Cal/OSHA  which  subsequently led to an investigation.                                           
202510004, Employee Crushes Leg  Suffers Possible Fracture , On July 9  2013  Employee #1  with Aquatic Environments  Inc.  was performing  maintenance on a backhoe-like piece of equipment (called an Aquamog) used to  maintain aquatic environments. Employee #1's leg was trapped between a moving  boom section and the swing saddle/A-frame previously installed on the Aquamog  vessel. Employee #1 was hospitalized.                                           
202654620, Worker Falls From Roof And Breaks Arm , On June 19  2013  Employee #1  employed by a construction company  was doing  roofing work on a new home construction. He was installing roofing felt paper.  He walked backwards and fell off the roof. He landed on the ground  a distance  of 12 to 14 feet. Emergency services were called. Employee #1 was transported  to the hospital  where he was treated for a fracture of the left arm and a  scrape to the left side of his face. He was not hospitalized.                   
200361772, Driver Hurt When Truck Unloading Sand Overturns , On June 18  2013  an employee was working as the driver of a tractor trailer  dump truck. He was delivering sand to a construction site. To reach the site  where he would dump the sand  he backed his rig up a previously deposited pile  of dirt. The left rear wheels of the trailer were raised approximately 2 feet  (0.6 meters) above the level of the rest of the ground. With the truck not  level  the employee then raised the trailer bed to dump the sand. The tractor  and trailer overturned to the right side. The employee sustained bruises   contusions  and abrasions. He was transported to an emergency room  provided  medical treatment  and released.                                                
