,id,Activities
0,200361855,working along a highway
1,200361855,travelling in the travelthrough
2,200361855,performing the duty of
3,200361855,marking the location of
4,202673471,positioning the forklift to
5,202673471,using the forklift to
6,202673471,operating a rough terrain
7,202509832,installing vinyl siding on
8,201562840,pulling his body into
9,201562840,operating an asphaltpulverizing machine
10,202478632,carrying a load of
11,202478632,roofing tile
12,202478632,using a bostitch nail
13,202478632,working with a coworker
14,201510989,working on a pipeline
15,202510004,performing maintenance on a
16,202654620,installing roofing felt paper
17,202654620,doing roofing work on
18,200361772,delivering sand to a
19,200361772,working a the driver
20,202657474,working from 16foot
21,202657474,working within proximity of
22,202657474,performing his daily duty
23,202657474,working a a tile
24,202651907,working with the mobile
25,202651907,being loaded onto a
26,202651907,being removed from under
27,202651907,using a mobile crane
28,202651907,being operated outside the
29,202651907,swinging
30,202651907,removing the fifth beam
31,202651907,being used to remove
32,202651907,being operated in a
33,200541936,performing the work from
34,200541936,cleaning the mckees rock
35,200541936,cleaning in close proximity
36,200621423,doing abrasive blasting from
37,300058807,performing abrasive blasting operation
38,795021,attempting to clear an
39,200810828,being raised by a
40,200810828,being hoisted up a
41,200810828,causing employee 1
42,202656856,coming from the machine
43,202656856,walking toward the coworker
44,202656856,operating a lavina 30g
45,202656856,working near coworkers
46,202656856,demolishing a commercial retail
47,202656856,involving nonresidential building
48,202656856,working for wj lent
49,202471264,showing a coworker how
50,202471264,working adjacent to other
51,202471264,performing his daily duty
52,202471264,working for c
53,201639994,using a stihl abrasive
54,170363899,grinding a small metal
55,201182656,wearing ansi labeled safety
56,201182656,wearing a face shield
57,201182656,jerking problem
58,201182656,binding and jerking problem
59,201182656,missing
60,201182656,shaping a 0
61,201145810,using an abrasive disc
62,201145810,grinding disc broke
63,201145810,cutting a metal railing
64,201122769,using a handheld power
65,202556775,working at an aerospace
66,202556775,threading machine
67,202556775,being gripped by the
68,202556775,being activated by employee
69,202556775,using the onofftype switch
70,202556775,using his right hand
71,202556775,using the machine to
72,202556775,threading machine ridge tool
73,202556775,using a pipe and
74,202556775,assembling a pipe section
75,201521390,undergoing physical therapy
76,201521390,roofing machinery from the
77,201521390,preparing to remove a
78,201344959,using compressed air to
79,201344959,being tested to ensure
80,201509056,pumping concrete
81,202465761,working near the company
82,202465761,being operated without the
83,202465761,injuring him
84,202465761,removing an air hose
85,202465761,starting to nail sheeting
86,202500682,installing insulation around pipe
87,310813175,causing gasoline to stream
88,310813175,holding the saw overhead
89,310813175,opening at a work
90,310813175,using a concrete cutting
91,201485042,applying sunrez resin and
92,201485042,sitting on a toilet
93,201485042,performing restoration effort on
94,201112737,using an electric chipping
95,201112737,working at an apartment
96,201402831,using acetone on the
97,201402831,working in did not
98,201402831,removing linoleum tile
99,201402831,working at a house
100,202545240,remaining weld to support
101,202545240,supporting the trellis
102,202545240,removing safety bracket with
103,202545240,working alone removing safety
104,202545240,securing a 22 ft
105,202471850,welding glove
106,202471850,wearing the appropriate personal
107,202471850,casing
108,202471850,casing when flame hit
109,202471850,leaning over the open
110,202471850,casing to raise it
111,202471850,cutting the well casing
112,200515229,removing the roof of
113,200515229,running
114,200515229,being conducted and he
115,201126406,using a welder s
116,201623766,falling highway board sign
117,200713980,working
118,200713980,erecting a steel double
119,102269925,operating an eagle 44
120,202517009,holding the panel to
121,202517009,moving a metal directional
122,202517009,removing road construction warning
123,200032803,pulling on a painting
124,201353208,wearing personal fall protection
125,201353208,working from a catwalk
126,201353208,standing for their lanyard
127,201079605,pulling on the rope
128,201079605,holding onto the line
129,201079605,striking his forehead against
130,201079605,using a chain saw
131,201079605,operating an aerial lift
132,201079605,cutting down a eucalyptus
133,200376655,working together to demo
134,200376655,pushing him against the
135,200376655,assisting a crew with
136,200376655,operating an aerial lift
137,200515914,performing exterior carpentry work
138,200515914,working in the basket
139,201408671,working from a lift
140,201408671,painting the building s
141,201408671,painting the exterior of
142,201408671,falling
143,201129889,looking down from the
144,201129889,operating a scissor lift
145,201129889,installing electrical wire in
146,201129889,working a a subcontractor
147,200626950,working from a personnel
148,202556452,cutting a piece of
149,202556452,working a a fulltime
150,170784722,receiving treatment for a
151,170784722,driving the lift down
152,201498094,following his stay there
153,202556726,lying on the floor
154,202556726,spotting screw in the
155,202556726,working a a drywall
156,202556726,working at a commercial
157,202570321,doing repair work on
158,202657862,working inside the facility
159,202657862,working at an aerospace
160,202657862,falling into the pit
161,202657862,surrounding the lift s
162,202657862,elevating them to install
163,201925344,parking
164,200103778,running and the movement
165,200103778,wearing a fall protection
166,200103778,awning structure of the
167,200103778,moving and appeared to
168,200103778,working alone from an
169,202089090,wearing a full body
170,202089090,facing the control and
171,202089090,mounting clip from an
172,202089090,removing wallmounted triangular bracket
173,202472338,pushing the aerial lift
174,202472338,using a jlg aerial
175,200151249,parking structure when he
176,200151249,articulating lift to install
177,200151249,using an articulating lift
178,202446191,working at a large
179,202446191,moving the boom s
180,202446191,welding ledger angle on
181,200603538,traveling
182,200603538,facing the direction in
183,200603538,operating the control of
184,201488897,ring and spring
185,201488897,being caught between the
186,201488897,bracing under the ceiling
187,201488897,welding steel bracing under
188,201488897,working from an aerial
189,170761514,cutting out the beam
190,170761514,working from an aerial
191,202657466,manufacturing baling hay and
192,202657466,being dislodged from position
193,202657466,being effectively secured or
194,202657466,retrieving a tool from
195,202657466,constructing a 90 ft
196,201498201,placing top cap along
197,201498201,constructing a barn for
198,201498201,performing his regular duty
199,200626927,going to replace the
200,200626927,lifting a 200 pound
201,201078961,using a 12 ft
202,201078961,opening wa to be
203,201078961,installing four piece of
204,202509840,pushing a 22 in
205,202587895,laying out huge hvac
206,202587895,opening in the roof
207,202587895,stepping onto the steel
208,202587895,waiting for the machinery
209,202587895,looking up at the
210,202587895,being lifted by helicopter
211,202587895,working at a multiemployer
212,202653960,conducting an inspection on
213,202471041,wearing a fall protection
214,202471041,wearing a fall protection
215,202471041,talking on his cell
216,202471041,facing east and talking
217,202471041,conducting the startup procedure
218,202471041,conditioning contractor
219,202471041,working for a plumbing
220,200556546,conditioning unit installed on
221,200556546,repairing the compressor on
222,200556546,running at 50 percent
223,202561254,working inside a large
224,201494978,controlling the bucket movement
225,201494978,operating an auger truck
226,200074615,working on a 36
227,202541322,spraying kilz r
228,202541322,working in an apartment
229,202541322,providing negative air pressure
230,202541322,filtering machine designed for
231,202340873,installing fender panel on
232,202340873,specializing in building dock
233,202340873,working a a carpenter
234,201925211,working in the excavation
235,200631596,drinking water and soil
236,200631596,doing the same activity
237,202288940,being found by his
238,202288940,working alone and he
239,202288940,preparing to put a
240,202539854,opening
241,202539854,planting a tree near
242,200673747,removing a cover called
243,200851673,making it look like
244,200851673,replacing coping stone on
245,170178677,working on the third
246,763680,working on a boom
247,963728,using the 4in
248,963728,working in a tunnel
249,963728,being cleaned out by
250,202674701,hearing impaired
251,202674701,wearing a safety vest
252,202674701,looking forward and no
253,202674701,loading area and hangar
254,202674701,working alone approximately 300
255,202674701,operating a pushtype blower
256,202674701,dusting service in biggs
257,202674701,working on a project
258,200230704,installing a fiber optic
259,202545745,removing the top track
260,202545745,removing a temporary wall
261,202545745,requiring suture at a
262,202545745,knocking him to the
263,202545745,decking where it had
264,202545745,using a crow bar
265,202545745,remodeling a commuter terminal
266,201363652,lighting system at an
267,201363652,working on the runway
268,202541710,digging
269,202541710,digging
270,202541710,potholing for soil
271,202541710,entering it
272,202541710,being demolished
273,202541710,working on a new
274,202541710,specializing in paving
275,202541710,operating a backhoe for
276,201408697,working behind a skid
277,201408697,existing roadway
278,201408697,widening of an existing
279,201408697,verifying grade elevation for
280,316347244,moving pile
281,316347244,working at the five
282,202556346,containing wire to the
283,202556346,searching the basement level
284,202556346,holding the missing wire
285,202556346,holding the screwdriver when
286,202556346,replacing an old fire
287,200999266,laying out piece for
288,200999266,working to construct a
289,202652327,working together to set
290,202652327,backing
291,202652327,loading ramp
292,202652327,checking the loading ramp
293,202652327,working on the ground
294,202652327,driving the service truck
295,202652327,doing cleanup work at
296,202652327,working a a laborer
297,202652327,contracting company that specializes
298,202652327,working for his employer
299,201128907,retrieving a tool wa
300,201523974,going to complete a
301,201523974,driving lane of the
302,201523974,operating in a south
303,201523974,performing it second pas
304,201523974,measuring 7 foot 2
305,201523974,working in coordination with
306,201523974,maintaining the traffic pattern
307,201523974,milling project
308,201523974,working a a laborer
309,200542199,backing up to the
310,200542199,walking across the new
311,200542199,leading to a bridge
312,200542199,working on a new
313,202634622,repaving project
314,202634622,working a a raker
315,200542116,standing in the path
316,200542116,traveling in reverse with
317,200542116,operating a new holland
318,200542116,being prepared for concrete
319,200542116,working a a laborer
320,202570693,driving under the influence
321,202570693,working approximately 20 foot
322,202570693,operating a weedeater on
323,202570693,performing landscape maintenance at
324,202654166,coming down the marble
325,202654166,landing coming down the
326,201562683,traveling southbound and failed
327,201562683,wearing the appropriate personal
328,201562683,directing traffic and wearing
329,202508024,preparing to remodel a
330,202508024,working for his employer
331,202455671,separating the glass and
332,202455671,holding with his right
333,202455671,separating the glass with
334,202455671,working on the second
335,202455671,working in this particular
336,202455671,doing his regularly assigned
337,202455671,using denatured alcohol to
338,202455671,working for sierra glass
339,202527461,spraying an alcoholbased primer
340,201353364,using both of his
341,201353364,leaning back on his
342,201353364,installing rigging equipment so
343,201353364,installing reinforcing bar on
344,202368999,hanging sheetrock in a
345,202528659,working for ea service
346,200212017,running
347,200212017,operating
348,200212017,operating a bulldozer to
349,200271203,using a torch to
350,200271203,causing an explosion
351,202659058,using his personallyowned dewalt
352,202659058,wearing rubber glove and
353,202659058,working at a building
354,201130085,being used
355,201130085,being used and separate
356,201130085,being used
357,201130085,being used and separate
358,201130085,making wa allowable without
359,201130085,guiding the wood through
360,201130085,pushing and guiding the
361,201130085,working alone and no
362,201130085,rising only to approximately
363,201130085,performing required two rip
364,201130085,measuring approximately 16 inch
365,201130085,making the first rip
366,201130085,framing modification
367,201130085,using a bosch 4000
368,201130085,performing interior carpentry at
369,202692299,using a skillsaw to
370,202510194,using a garden hose
371,202510194,cleaning the equipment
372,202546438,holding a 2 in
373,202546438,working on the construction
374,202570495,placing anchor on the
375,202658472,hanging pilaster panel
376,202658472,working on a below
377,202657771,walking to untie the
378,202657771,wearing a full body
379,202657771,inspecting the sheeted roof
380,202614806,climbing onto the roof
381,202614806,working for a construction
382,202369518,using failed
383,202369518,using personal fall protection
384,201078680,using the scissors lift
385,201078680,existing plastic using the
386,201078680,opening
387,201078680,covering an openair atrium
388,201078680,wearing fall protection his
389,201078680,wearing a miller
390,201078680,opening
391,201078680,entering the nearby and
392,201078680,undergoing renovation
393,201078169,moving a sprinkler system
394,201078169,working on the face
395,201078169,moving the sprinkler system
396,201078169,cracking during the curing
397,201078169,being used to prevent
398,201078169,being kept in the
399,200556843,crushing him between the
400,200556843,working to demolish a
401,202005427,wearing a safety harness
402,202005427,working atop a private
403,201127834,using both hand to
404,201127834,making his first trip
405,201127834,installing window trim on
406,200381051,wearing a personal fall
407,200381051,working on a tower
408,202089413,causing employee 1
409,202089413,adjusting the comealong in
410,202089413,using a ratchet lever
411,202089413,wearing a harness or
412,202089413,working on top of
413,202089413,erecting a grain leg
414,202573846,sustaining entry wound on
415,202573846,preparing to pave a
416,201773348,allowing the employee to
417,201773348,using a harness and
418,201773348,decking
419,201773348,installing roof decking
420,201773348,working approximately fortyfeet above
421,202458733,being constructed
422,202458733,working at a site
423,202458733,using a step ladder
424,202458733,installing wire mesh on
425,202458733,being constructed
426,202464418,working for a special
427,311460737,releasing ammonia vapor
428,311460737,repositioning an adjustable scaffold
429,311460737,releasing ammonia vapor
430,200072981,working on a scaffold
431,201460136,articulating ladder set up
432,201460136,installing an entertainment system
433,201187143,performing interior finished framing
434,201408705,picking up tie down
435,201024825,hanging a picture
436,202675625,operating a hydraulic jack
437,202675625,being installed
438,202675625,working at a residential
439,201187127,removing one sheet of
440,201187127,working at a construction
441,201187127,measuring 4 foot by
442,202675302,using to haul trash
443,202675302,going to use a
444,202675302,cleaning up construction debris
445,171044845,working on a roof
446,200536027,installing structural steel for
447,202723722,wearing pfas however
448,202723722,adjusting an antenna at
449,202522116,lowering cell phone antenna
450,202522116,working on a communication
451,200003143,using five 20ft triangular
452,201494150,installing five 24in
453,201494150,working with a crew
454,201494150,operating an allterrain forklift
455,200002160,upgrading antenna on a
456,201272382,wearing hard hat
457,201272382,falling
458,201272382,indicating that something wa
459,201272382,warning call indicating that
460,201272382,leaving the communication tower
461,201272382,consisting of a rope
462,201272382,using a rigging system
463,201272382,falling
464,201572831,positioning lanyard from an
465,201572831,existing threeleg communication tower
466,201572831,installing a new digital
467,200354363,conducting a sweep test
468,200354363,replacing nine antenna panel
469,200354363,working on the tower
470,202338265,installing sleeve cover over
471,201172913,descending an antenna tower
472,202531729,using an air arc
473,202531729,welding task
474,202531729,cutting grinding and welding
475,202531729,starting the cutting grinding
476,202531729,using air arc to
477,202531729,performing repair on the
478,202531729,attempting to remove and
479,202531729,working at a construction
480,201331246,welding
481,201331246,performing hot work and
482,201331246,working on a 10
483,202609038,using an arc welder
484,202609038,holding tank
485,202609038,repairing a holding tank
486,201127289,arching a steel plate
487,201127289,wearing an orange safety
488,201125580,wearing canvas type overall
489,201125580,smoldering apparently from a
490,201125580,welding for approximately two
491,201125580,welding at the jobsite
492,201125580,performing carbon arc welding
493,201352176,using a briggs and
494,200602456,welding with damaged cable
495,200602456,welding under a truck
496,201681202,filling it with nitrogen
497,201681202,installing a vapor barrier
