,id,Cause,Object,Occupation
0,200361855,Struck By Moving Objects,motor-vehicle,no_occupation
1,202673471,Caught in/between Objects,forklift,foreman
2,202509832,Falls,ladder,no_occupation
3,201562840,Caught in/between Objects,asphalt-machine,no_occupation
4,202478632,Caught in/between Objects,nail,foreman
5,202692364,Falls,ceiling-joist,carpenter
6,201510989,Falls,cement,southlandtutor
7,202510004,Caught in/between Objects,no_object,no_occupation
8,202654620,Falls,no_object,no_occupation
9,200361772,Struck By Moving Objects,sand,driver
10,202657474,Falls,setter,supervisor
11,202651907,Struck By Moving Objects,crane,rigger
12,200541936,Falls,suspension-scaffold,no_occupation
13,200621423,Falls,man-lift,coworker
14,300058807,Falls,no_object,no_occupation
15,795021,Struck By Moving Objects,machine,no_occupation
16,14332423,Struck By Moving Objects,compressor,no_occupation
17,200810828,Falls,tower,coworker
18,202656856,Caught in/between Objects,machine,contractor
19,202471264,Caught in/between Objects,grinder,contractor
20,201639994,Struck By Moving Objects,saw,no_occupation
21,170363899,Struck By Moving Objects,wheel,no_occupation
22,201182656,Caught in/between Objects,no_object,supervisor
23,201145810,Caught in/between Objects,angle-grinder,no_occupation
24,201122769,Struck By Moving Objects,wheel,no_occupation
25,202556775,Electrocution,machine-activation,contractor
26,170627087,Struck By Moving Objects,vehicle,labor
27,201521390,Falls,no_object,accelerator
28,201344959,Struck By Moving Objects,reaction,no_occupation
29,201509056,Caught in/between Objects,no_object,driver
30,202465761,Caught in/between Objects,nail-gun,contractor
31,202500682,Caught in/between Objects,hot-water,no_occupation
32,202447751,Struck By Moving Objects,tar,contractor
33,310813175,Caught in/between Objects,gasoline,contractor
34,201485042,Struck By Moving Objects,no_object,no_occupation
35,201112737,Caught in/between Objects,no_object,contractor
36,201402831,Struck By Moving Objects,no_object,no_occupation
37,202545240,Caught in/between Objects,no_object,foreman
38,202471850,Caught in/between Objects,cutting-torch,supervisor
39,200515229,Struck By Moving Objects,no_object,owner
40,201126406,Struck By Moving Objects,gas,no_occupation
41,201623766,Falls,board-sign,no_occupation
42,200713980,Struck By Moving Objects,billboard,owner
43,102269925,Caught in/between Objects,lift,no_occupation
44,202517009,Falls,toad-sign,no_occupation
45,200032803,Struck By Moving Objects,outdoor-sign,coworker
46,201353208,Falls,no_object,coworker
47,201079605,Caught in/between Objects,tree-limb,coworker
48,200376655,Struck By Moving Objects,no_object,supervisor
49,200515914,Caught in/between Objects,no_object,no_occupation
50,201408671,Falls,lift,coworker
51,201129889,Caught in/between Objects,pipe,electrician
52,200626950,Falls,lift,supervisor
53,202556452,Caught in/between Objects,laceration,carpenter
54,170784722,Caught in/between Objects,lift,no_occupation
55,201498094,Falls,manlift,worker
56,202588711,Falls,no_object,no_occupation
57,202556726,Falls,scissor-lift,contractor
58,202570321,Electrocution,power-line,no_occupation
59,202654323,Falls,scissor-lift,carpenter
60,202657862,Falls,pit,coworker
61,201925344,Struck By Moving Objects,lift-platform,no_occupation
62,200103778,Struck By Moving Objects,lift,worker
63,202089090,Falls,lift,no_occupation
64,202472338,Struck By Moving Objects,basket,coworker
