id,Cause,Objects,Occupation,Activities
200361855,Struck By Moving Objects,motor-vehicle,no_occupation,working along a highway
200361855,Struck By Moving Objects,motor-vehicle,no_occupation,travelling in the travelthrough
200361855,Struck By Moving Objects,motor-vehicle,no_occupation,performing the duty of
200361855,Struck By Moving Objects,motor-vehicle,no_occupation,marking the location of
202673471,Caught in/between Objects,forklift,foreman,positioning the forklift to
202673471,Caught in/between Objects,forklift,foreman,using the forklift to
202673471,Caught in/between Objects,forklift,foreman,operating a rough terrain
202509832,Falls,ladder,no_occupation,installing vinyl siding on
201562840,Caught in/between Objects,asphalt-machine,no_occupation,pulling his body into
201562840,Caught in/between Objects,asphalt-machine,no_occupation,operating an asphaltpulverizing machine
202478632,Caught in/between Objects,nail,foreman,carrying a load of
202478632,Caught in/between Objects,nail,foreman,roofing tile
202478632,Caught in/between Objects,nail,foreman,using a bostitch nail
202478632,Caught in/between Objects,nail,foreman,working with a coworker
201510989,Falls,cement,southlandtutor,working on a pipeline
202510004,Caught in/between Objects,no_object,no_occupation,performing maintenance on a
202654620,Falls,no_object,no_occupation,installing roofing felt paper
202654620,Falls,no_object,no_occupation,doing roofing work on
200361772,Struck By Moving Objects,sand,driver,delivering sand to a
200361772,Struck By Moving Objects,sand,driver,working a the driver
202657474,Falls,setter,supervisor,working from 16foot
202657474,Falls,setter,supervisor,working within proximity of
202657474,Falls,setter,supervisor,performing his daily duty
202657474,Falls,setter,supervisor,working a a tile
202651907,Struck By Moving Objects,crane,rigger,working with the mobile
202651907,Struck By Moving Objects,crane,rigger,being loaded onto a
202651907,Struck By Moving Objects,crane,rigger,being removed from under
202651907,Struck By Moving Objects,crane,rigger,using a mobile crane
202651907,Struck By Moving Objects,crane,rigger,being operated outside the
202651907,Struck By Moving Objects,crane,rigger,swinging
202651907,Struck By Moving Objects,crane,rigger,removing the fifth beam
202651907,Struck By Moving Objects,crane,rigger,being used to remove
202651907,Struck By Moving Objects,crane,rigger,being operated in a
200541936,Falls,suspension-scaffold,no_occupation,performing the work from
200541936,Falls,suspension-scaffold,no_occupation,cleaning the mckees rock
200541936,Falls,suspension-scaffold,no_occupation,cleaning in close proximity
200621423,Falls,man-lift,coworker,doing abrasive blasting from
300058807,Falls,no_object,no_occupation,performing abrasive blasting operation
795021,Struck By Moving Objects,machine,no_occupation,attempting to clear an
200810828,Falls,tower,coworker,being raised by a
200810828,Falls,tower,coworker,being hoisted up a
200810828,Falls,tower,coworker,causing employee 1
202656856,Caught in/between Objects,machine,contractor,coming from the machine
202656856,Caught in/between Objects,machine,contractor,walking toward the coworker
202656856,Caught in/between Objects,machine,contractor,operating a lavina 30g
202656856,Caught in/between Objects,machine,contractor,working near coworkers
202656856,Caught in/between Objects,machine,contractor,demolishing a commercial retail
202656856,Caught in/between Objects,machine,contractor,involving nonresidential building
202656856,Caught in/between Objects,machine,contractor,working for wj lent
202471264,Caught in/between Objects,grinder,contractor,showing a coworker how
202471264,Caught in/between Objects,grinder,contractor,working adjacent to other
202471264,Caught in/between Objects,grinder,contractor,performing his daily duty
202471264,Caught in/between Objects,grinder,contractor,working for c
201639994,Struck By Moving Objects,saw,no_occupation,using a stihl abrasive
170363899,Struck By Moving Objects,wheel,no_occupation,grinding a small metal
201182656,Caught in/between Objects,no_object,supervisor,wearing ansi labeled safety
201182656,Caught in/between Objects,no_object,supervisor,wearing a face shield
201182656,Caught in/between Objects,no_object,supervisor,jerking problem
201182656,Caught in/between Objects,no_object,supervisor,binding and jerking problem
201182656,Caught in/between Objects,no_object,supervisor,missing
201182656,Caught in/between Objects,no_object,supervisor,shaping a 0
201145810,Caught in/between Objects,angle-grinder,no_occupation,using an abrasive disc
201145810,Caught in/between Objects,angle-grinder,no_occupation,grinding disc broke
201145810,Caught in/between Objects,angle-grinder,no_occupation,cutting a metal railing
